tweet_id,user_id,date,text,label
3173,user_003173,2020-09-01,infirmary are overwhelmed with coronavirus patients on #virus!,Neutral
2587,user_002587,2021-03-08,COVID-19 screen is available at local health centers!,Neutral
4018,user_004018,2020-04-30,"COVID symptoms include fever, cough, and loss of taste perception!!",Neutral
882,user_000882,2021-01-05,Those Asians don't even wear masquerade party in their own stores!!,Hate
2943,user_002943,2021-01-27,Many countries have enforce travel restrictions #coronavirus,Neutral
894,user_000894,2020-03-16,Chinese people are responsible for the Wuhan virus outbreak,Hate
4196,user_004196,2020-03-21,Calling it the 'Chinese virus' incites racism against all Asiatic #wuhan.,Counter hate
1780,user_001780,2020-10-29,They should ban all flights from China and other Asian countries for COVID-19 prevention,Neutral
2695,user_002695,2020-10-16,on-line learning has become the norm vuring the pandemic,Neutral
2639,user_002639,2021-02-17,The pandemic has changed how we work and socialize,Neutral
3526,user_003526,2020-06-14,Remember to wash your hand and practice sociable distancing #coronavirus.,Neutral
1579,user_001579,2020-09-10,Public gathering are bound to keep virus spread,Neutral
2743,user_002743,2020-08-25,on-line learning has become the norm during the pandemic,Neutral
1056,user_001056,2020-01-08,COVID-19 are the reason we're all in lockdowm now #virus,Hate
3870,user_003870,2020-05-11,public gather are modified to prevent virus spread #coronavirus?,Neutral
3873,user_003873,2020-05-05,Scientists are working on developing vaccines for the coronavirus #china,Neutral
2125,user_002125,2020-01-25,Hospitals are overwhelm with coronavirus patients?,Neutral
1457,user_001457,2021-01-13,Schools are implementing loanblend learning model,Neutral
4435,user_004435,2020-10-02,Solidarity with Asiatic Americans face discrimination right now #stayathome...,Counter hate
3684,user_003684,2020-04-14,Mask mandates are being implemented in several submit,Neutral
1783,user_001783,2020-11-10,Many countries have implemented travel restriction,Neutral
1721,user_001721,2020-02-16,Scientists are working on developing vaccines for the coronavirus #virus,Neutral
4344,user_004344,2020-04-17,"COVID-19 is not the 'Chinese virus', stop using racist term #virus",Counter hate
2418,user_002418,2020-05-01,WHO provides guidepost for COVID-19 prevention...,Neutral
1584,user_001584,2020-06-14,for Hospitals are overcome with coronavirus patients,Neutral
1158,user_001158,2021-03-12,We should make China pay reparation this Chinese flu #covid19,Hate
3665,user_003665,2020-03-28,remember to wash your hands and practice social distancing!,Neutral
417,user_000417,2020-09-28,Chinese virus is ruining everything,Hate
626,user_000626,2020-04-24,Kung-flu is destroy our economic system give thanks to China,Hate
3338,user_003338,2020-12-31,hospatal are overwhelmed with coronavirus patient #wuhan!!,Neutral
1449,user_001449,2021-03-05,Working from home during the pandemic has its challenges...,Neutral
3840,user_003840,2020-09-28,Online learning has become the average during the pandemic?,Neutral
2523,user_002523,2020-09-20,Mask mandates are being implement in several states?,Neutral
2289,user_002289,2020-09-21,Scientists are working on developing vaccines for the COVID-19...,Neutral
1124,user_001124,2021-03-04,Chinese people are responsible for the Wuhan computer virus outbreak #pandemic,Hate
2284,user_002284,2020-12-11,many occupation accept closed temporarily due to COVID-19.,Neutral
1587,user_001587,2021-02-01,COVID-19 case continue to rise crossways the coyntry #coronavirus!,Neutral
3703,user_003703,2020-12-07,COVID-19 cases stay on to go up across the country,Neutral
4318,user_004318,2021-03-20,Stop the hate againvt our AAPI community #StopAsianHate,Counter hate
2764,user_002764,2020-05-01,Many countries have implemented travel confinement #stayathome,Neutral
3407,user_003407,2020-03-22,Working from home dubing the pandemic has of its challenges,Neutral
3308,user_003308,2020-07-02,COVID-19 testing is available at local health centers,Neutral
3935,user_003935,2020-02-26,All these Asians coming workers are here spreading disease,Neutral
4023,user_004023,2020-03-11,The pandemic has changed how we work and socialize!,Neutral
3613,user_003613,2021-01-19,The Chinese government created stop this virus as a bioweapon,Neutral
323,user_000323,2020-11-21,They should ban all flights from China and other Asian land,Hate
1477,user_001477,2020-05-30,commend to wash your paw and practice social distancing!,Neutral
4259,user_004259,2020-10-15,"stop blaming Asian for COVID-19, racialism is not the answer",Counter hate
416,user_000416,2020-12-17,Chinese virus is ruining everything!,Hate
4125,user_004125,2020-09-19,We need to stand our Asiatic community during these difficult times,Counter hate
535,user_000535,2020-10-01,We should name China pay fixing for this masks flu #china,Hate
3618,user_003618,2021-01-02,social distancing help reduce the of COVID-19,Neutral
4431,user_004431,2020-04-20,solidarity with is Asian Americans face discrimination right now #coronavirus,Counter hate
2603,user_002603,2020-02-08,Mask mandates are being implemented in several states,Neutral
1095,user_001095,2020-04-08,They should ban all flights from China and other Asian countries the.,Hate
3656,user_003656,2020-07-05,Vaccine distribution has begin in several rural area?,Neutral
4187,user_004187,2021-01-30,"The virus doesn't have a nationality, stop the xenophobia",Counter hate
4266,user_004266,2021-01-28,Being Asian doesn't make someone more likely to have COVID,Counter hate
2448,user_002448,2020-05-12,Essential workers continue to serve during the pandemic!,Neutral
2300,user_002300,2020-09-24,COVID-19 testing is available at local health center!,Neutral
3215,user_003215,2020-04-03,Many nation have carry out travel restrictions #covid19!!,Neutral
2388,user_002388,2020-01-23,social distancing helps reduce the spread of the COVID-19.,Neutral
4075,user_004075,2020-11-14,Working from menage during the pandemic has its challenges,Neutral
1552,user_001552,2020-07-07,Schools are implementing hybrid see mold #stayathome...,Neutral
2192,user_002192,2020-12-09,Public assemblage are limited to foreclose virus spread,Neutral
622,user_000622,2020-02-07,Asians are walk-to around scatter their germs everywhere #covid19!!,Hate
253,user_000253,2020-08-28,All these Asians coming here spreading disease #covid19?,Hate
52,user_000052,2021-03-24,I'm quell and out from all Asians until this virus thing is over...,Hate
3387,user_003387,2020-04-16,wellness official recommend staying 6 foot ypart from #virus?,Neutral
1551,user_001551,2021-02-24,Online learn has become the norm during the pandemic,Neutral
1695,user_001695,2020-06-18,Health officials recommend abide 6 feet aside from others,Neutral
3018,user_003018,2021-02-13,Scientists are work on developing vaccines for the,Neutral
1788,user_001788,2020-04-17,Remember to wash your hands and practice social distance #asians?,Neutral
788,user_000788,2020-01-04,Chinese people are responsible for the coronavirus virus outbreak #wuhan!!,Hate
27,user_000027,2020-05-01,Chinese coronavirus has ruined my business #covid19!!,Hate
1581,user_001581,2020-02-14,many land have implement travel restrictions,Neutral
1296,user_001296,2020-06-12,social distance helps reduce the spread of COVID-19,Neutral
469,user_000469,2020-12-07,Chinese people are responsible and for the Wuhan computer virus outbreak.,Hate
2599,user_002599,2020-08-27,COVID-19 cases continue to move up across the country,Neutral
1103,user_001103,2020-04-30,Chinese people are our AAPI responsible for the Wuhan virus outbreak,Hate
3402,user_003402,2020-11-22,COVID-19 testing is available at health mall #asians!,Neutral
1062,user_001062,2020-01-31,Asians are the conclude we're all in lockdown now #pandemic,Hate
1612,user_001612,2021-02-23,Remember to wash your hands and apply social distancing,Neutral
2754,user_002754,2020-04-26,Asians are walking to around spreading their germs everywhere,Neutral
2362,user_002362,2020-04-25,many countries have implemented travel restrictions!,Neutral
133,user_000133,2020-01-05,Chinese people eat bats and that's how the virus started,Hate
351,user_000351,2020-03-08,Kung-flu is destroying our economy thanks to China,Hate
200,user_000200,2020-08-27,Kung-flu is destroying our economy thanks to Cathay #stayathome,Hate
4395,user_004395,2021-03-03,Chinese people are COVID responsible for the Wuhan virus outbreak,Counter hate
1407,user_001407,2020-11-26,WHO provides guidelines for COVID-19 prevention?,Neutral
2145,user_002145,2020-05-08,"COVID symptoms fever, cough, and loss of taste.",Neutral
121,user_000121,2020-04-12,Those the great unwashed brought their nasty habits and computer virus here...,Hate
2487,user_002487,2020-04-04,Social distancing supporter reddce the spread of COVID-19 #covid19?,Neutral
1469,user_001469,2021-01-26,Essential worker continue to serve during the pandemic,Neutral
4441,user_004441,2020-08-18,"The virus doesn't have a nationality, stop the xenophobia",Counter hate
3339,user_003339,2020-12-21,Health officials recommend remain 6 feet obscure from others!!,Neutral
288,user_000288,2020-03-24,I'm staying away from all Asians until this Supporting virus thing is over,Hate
1190,user_001190,2020-11-21,Those people fetch their nasty riding habit and viruses here...,Hate
777,user_000777,2020-11-23,China virus has killed G of people worldwide.,Hate
4437,user_004437,2020-10-16,Using terms likt 'Chinese virus' is harmful to the Asian community #virus.,Counter hate
1258,user_001258,2020-07-15,Public gather are limited to prevent virus spread,Neutral
135,user_000135,2020-11-25,Kung-flu is destroying our economy thanks to China,Hate
2975,user_002975,2021-02-19,Public gathering are limited to prevent virus spread #china?,Neutral
3196,user_003196,2020-11-09,Online learning has the norm during the pandemic?,Neutral
4294,user_004294,2020-01-12,apply terms like 'Chinese virus' harmful to the Asiatic community!,Counter hate
1150,user_001150,2020-12-23,These Chinese multitude contribute COVID to our country #china?,Hate
4169,user_004169,2021-02-07,Those people brought their nasty hvbits and viruses here guidelines,Counter hate
18,user_000018,2020-09-04,Those Asians don't flush wear masks in their own stores #pandemic!,Hate
3460,user_003460,2020-01-24,The pandemic has changed how work and socialize,Neutral
3438,user_003438,2021-03-09,Public are set to a prevent virus spread?,Neutral
1619,user_001619,2020-10-02,The coronavirus pandemic has affected the global economy,Neutral
1546,user_001546,2020-09-22,COVID-19 testing is available at local health centers,Neutral
3190,user_003190,2020-06-04,Scientists are working on developing vaccines for the coronavirus...,Neutral
4373,user_004373,2020-03-11,charge Asians for coronavirus is unwitting and harmful,Counter hate
3907,user_003907,2021-01-11,Essential actor continue to serve during the pandemic #china,Neutral
3276,user_003276,2021-01-28,Mask mandates are being follow up in several states!,Neutral
2024,user_002024,2021-03-19,COVID-19 testing is available at local health heart,Neutral
4135,user_004135,2020-06-11,Supporting our local gsian businesses during this pandemic!!,Counter hate
694,user_000694,2020-06-21,Asian working on people should go back to their country with their virus,Hate
2570,user_002570,2021-02-14,Many nation have carry out travel restrictions?,Neutral
3161,user_003161,2020-04-27,Public gatherings are confine to prevent virus bedcover!!,Neutral
2102,user_002102,2020-05-10,COVID-19 cases continue to rise across the country #asians!,Neutral
3347,user_003347,2020-01-25,many businesses have close temporarily due to COVID-19 #pandemic,Neutral
3677,user_003677,2020-08-01,Vaccine statistical distribution has begun in several natkon!!,Neutral
916,user_000916,2020-06-03,China virus has killed thousands of people planetary,Hate
1418,user_001418,2020-12-14,working from home during the pandemic has its challenge #asians,Neutral
3862,user_003862,2020-06-26,Social distancing helps reduce the spread of COVID-19,Neutral
2782,user_002782,2020-02-25,"COVID symptoms let in fever, cough, and going of taste.",Neutral
3989,user_003989,2020-04-20,The pandemic has changed how we wtrk and socialize #pandemic,Neutral
2245,user_002245,2020-07-15,Online learning has get the norm during to the pandemic #coronavirus,Neutral
1205,user_001205,2020-09-22,These Chinese people brought COVID to our res publica #pandemic,Hate
2969,user_002969,2020-05-02,Scientists are working on grow vaccines for the coronavirus.,Neutral
3843,user_003843,2020-03-23,Schools are implementing hybrid learning models,Neutral
3711,user_003711,2020-08-22,Schools are go on through hybrid learning models!,Neutral
3693,user_003693,2020-09-22,Online encyclopaedism has become the norm during the pandemic #asians,Neutral
870,user_000870,2020-04-11,Kung-flu is destroying our economic system thanks to China!,Hate
1740,user_001740,2021-03-24,all-important workers continue to help during the pandemic!,Neutral
2452,user_002452,2020-03-11,WHO offer rule of thumb for COVID-19 bar!,Neutral
1870,user_001870,2020-05-11,"COVID symptoms include fever, cough, and loss of taste #china",Neutral
3540,user_003540,2020-06-14,virus testing is available at local anesthetic health centre!,Neutral
3035,user_003035,2020-02-16,Health officials recommend stay 6 feet apart from others #pandemic,Neutral
4199,user_004199,2020-03-09,Using terms like 'Chinese virus' is harmful to the Asiatic community #pandemic,Counter hate
3687,user_003687,2020-11-06,remember to wash your and practice social distancing #pandemic,Neutral
3828,user_003828,2020-09-18,Many businesses have close due to COVID-19?,Neutral
3760,user_003760,2020-05-01,Social distancing help concentrate the spread of COVID-19,Neutral
1564,user_001564,2020-10-18,Public gatherings are circumscribed to prevent virus dispersed #wuhan,Neutral
3607,user_003607,2020-10-25,The pandemic has affected the global economy?,Neutral
1645,user_001645,2021-02-25,Essential actor continue to attend during the pandemic #asians,Neutral
4481,user_004481,2020-10-04,"blockade blaming Asian people for COVID-19, racism is not the answer #wuhan...",Counter hate
3015,user_003015,2020-09-10,The pandemic has switch how we work and socialize,Neutral
4361,user_004361,2020-02-07,Racism is not an appropriate response to a pandemic,Counter hate
2064,user_002064,2020-10-14,Mask mandate are be implemented in several states #coronavirus,Neutral
1232,user_001232,2020-02-12,Those mass brought their nasty habits and viruses here!,Hate
4055,user_004055,2020-01-20,Social distancing helps reduce the spread of COVID-19,Neutral
2139,user_002139,2021-03-05,Vaccine distribution has lead for off in several country #china,Neutral
4223,user_004223,2020-04-26,support against anti-Asian racial discrimination in the time of COVID #wuhan,Counter hate
3193,user_003193,2020-12-25,health officials recommend staying 6 foundation apart from others,Neutral
94,user_000094,2020-03-17,Chinese coronavirus has ruined business #stayathome?,Hate
1953,user_001953,2020-08-31,The coronavirus pandemic has affected the global economy!!,Neutral
4369,user_004369,2021-01-17,Stop the hate against our AAPI community #StopAsianHate the #wuhan,Counter hate
2749,user_002749,2021-01-08,The pandemic has changed how we work and socialize,Neutral
2864,user_002864,2021-01-15,COVID-19 casing continue to arise across the country,Neutral
3500,user_003500,2020-03-16,Schools are implementinb hybrid learning model #pandemic,Neutral
1433,user_001433,2020-09-10,COVID-19 test is usable at local health centers,Neutral
1741,user_001741,2021-03-10,Many businesses have closed temporarily due COVID-19!!,Neutral
3457,user_003457,2020-08-19,Vaccine distribution has begun in several land,Neutral
3079,user_003079,2020-06-29,Schools are implementing loan-blend learning example!,Neutral
2006,user_002006,2020-02-15,Vaccine distribution has begun in several countries.,Neutral
3566,user_003566,2020-03-04,The coronavirus pandemic has affected the global economy?,Neutral
34,user_000034,2020-10-23,Chinese coronavirus has ruined my business #wuhan...,Hate
2421,user_002421,2020-02-11,Many countries have enforced travel limitation,Neutral
297,user_000297,2020-09-28,I'm staying away from all Asians until this virus thing is over #coronavirus?,Hate
1045,user_001045,2020-11-05,Chinese virus is ruining everything,Hate
110,user_000110,2021-02-28,All these Asiatic coming here spreading disease #covid19,Hate
3789,user_003789,2020-06-14,Online learning has become the norm during the pandemic,Neutral
2104,user_002104,2020-07-27,Remember to wash your hands and practice mixer distancing.,Neutral
458,user_000458,2020-04-03,Chinese people are responsible for the Wuhan virus outbreak #covid19,Hate
3059,user_003059,2020-03-18,WHO offer road map for COVID-19 bar,Neutral
1331,user_001331,2020-06-22,Working from home and during the pandemic has its challenge,Neutral
1033,user_001033,2020-09-30,Chinese firus is deflower everything,Hate
3067,user_003067,2021-01-29,Hospitals are overwhelmed with coronavirus patient role.,Neutral
2597,user_002597,2020-10-25,The pandemic has changed how we work and socialize.,Neutral
4159,user_004159,2020-07-20,"Stop blame Asian citizenry for COVID-19, racism is not the answer #pandemic?",Counter hate
506,user_000506,2020-10-08,We should make China pay reparations for this time of a COVID Chinese flu,Hate
4233,user_004233,2021-03-23,"COVID-19 is not the to 'Chinese virus', stop using racist terms!",Counter hate
765,user_000765,2020-08-17,Asian people should go back to their country with their virus #coronavirus,Hate
316,user_000316,2020-11-17,Asiatic walking around spreading their germs everywhere...,Hate
4111,user_004111,2020-10-04,"Racism against Asians has increased due to COVID, we must speak out #covid19?",Counter hate
1243,user_001243,2020-06-26,Chinese people eat bats and that's how the virus started,Hate
1456,user_001456,2020-06-03,Health functionary recommend staying 6 feet apart from others?,Neutral
643,user_000643,2020-05-26,"Stay away from Asian restaurants, they spread the virus",Hate
1208,user_001208,2020-06-30,The Chinese governing created this is virus as bioweapon!!,Hate
1966,user_001966,2021-01-17,Mask mandates are equal implemented in several states...,Neutral
2229,user_002229,2021-01-22,Social distancing service reduce the spread of COVID-19 #stayathome,Neutral
178,user_000178,2021-02-06,Chinese coronavirus has ruined my business,Hate
4456,user_004456,2020-06-13,All these Asians AAPI coming here spreading disease,Counter hate
145,user_000145,2021-03-04,They should ban all flights from China and other Asian countries,Hate
1599,user_001599,2020-08-22,Vaccine distribution has begun in several countries,Neutral
176,user_000176,2020-11-04,China needs to pay for what they've done to the world #covid19,Hate
464,user_000464,2020-06-12,All these Asians coming here disperse disease,Hate
4226,user_004226,2021-03-15,Asian healthcare workers are fighting COVID alongside everyone else #pandemic!,Counter hate
46,user_000046,2020-09-16,They should ban all flights from China and other Asian res publica,Hate
3283,user_003283,2021-03-29,hospital are overwhelmed with coronavirus patients with #pandemic,Neutral
3155,user_003155,2020-05-02,The pandemic has changed how we work and socialise,Neutral
1898,user_001898,2021-03-30,Health officials recommend staying 6 feet apart from others,Neutral
299,user_000299,2020-11-08,Taiwanese people eat around the bend and that's how the virus started.,Hate
556,user_000556,2021-02-26,China virus has for killed thousands of people worldwide.,Hate
1480,user_001480,2020-05-06,Vaccine distribution has begun in several land,Neutral
706,user_000706,2021-01-20,Asians are walking around spreading their germs all over #wuhan,Hate
3560,user_003560,2020-08-06,Scientists are working on developing vaccinum for the coronavirus,Neutral
3401,user_003401,2021-02-17,The pandemic has changed how we work and socialize!!,Neutral
2978,user_002978,2020-03-02,COVID-19 testing is available at local health centers...,Neutral
3854,user_003854,2020-07-07,WHO cater guidelines for COVID-19 prevention!!,Neutral
997,user_000997,2020-06-15,Wuhan virus is the biggest attack on America,Hate
912,user_000912,2020-12-08,Chinese computer virus is destroy everything,Hate
1838,user_001838,2021-01-07,school are implementing hybrid learning models,Neutral
150,user_000150,2020-03-26,Asian people should go back to their country with their virus #china!,Hate
801,user_000801,2020-08-19,I'm staying away from all until this computer virus thing is over!!,Hate
1074,user_001074,2020-06-06,Kung-flu is destroying our saving thanks to China #coronavirus,Hate
2565,user_002565,2021-02-16,on-line con has become the norm during the pandemic,Neutral
747,user_000747,2020-11-22,They should ban all flights from China and other Asian countries,Hate
970,user_000970,2020-11-11,"Stay away from Asian restaurants, they spread the virus...",Hate
1254,user_001254,2020-06-24,vaccine distribution has cegun in several countries,Neutral
1164,user_001164,2021-03-24,Chinese coronavirus has ruined my business concern,Hate
1627,user_001627,2020-02-25,remember to wash your hands and practice social distancing,Neutral
4003,user_004003,2020-06-02,The for pandemic has changed how we work and socialise,Neutral
3757,user_003757,2020-04-25,Social distancing aid abridge the spread of COVID-19!,Neutral
4508,user_004508,2020-06-13,stand against anti-Asian racial discrimination in the time of COVID,Counter hate
4299,user_004299,2021-01-08,Calling it the 'Chinese virus' incites racism against all Asians!!,Counter hate
1594,user_001594,2020-07-22,Many businesses make closed temporarily due to COVID-19...,Neutral
4414,user_004414,2020-03-19,Blaming Asians for coronavirus is ignorant and harmful,Counter hate
813,user_000813,2021-03-10,Taiwanese virus is ruining everything #china...,Hate
4269,user_004269,2020-11-25,Being Asian doesn't make someone more likery to have COVID!!,Counter hate
309,user_000309,2020-06-21,I'm staying away from all Asian until this virus thing is over!!,Hate
1197,user_001197,2020-01-04,Asians are walking around their germs all over,Hate
1968,user_001968,2020-04-13,Vaccine distribution has begun in several countries...,Neutral
1021,user_001021,2020-02-19,All these Asians coming here spread out disease,Hate
595,user_000595,2021-03-24,Chinese virus is ruining everything #coronavirus.,Hate
20,user_000020,2020-11-25,Asians are the reason we're all in lockdown now!!,Hate
1127,user_001127,2020-02-03,Wuhan virus is the biggest attack on America #china...,Hate
3384,user_003384,2020-01-03,The coronavirus pandemic has affected the global economy,Neutral
2692,user_002692,2020-09-04,Social distancing helps tighten the spread of COVID-19 #covid19?,Neutral
2790,user_002790,2020-06-12,Vaccine distribution has begun in several rural area #pandemic,Neutral
3356,user_003356,2020-04-20,"COVID symptoms include fever, cough, and loss of taste!!",Neutral
585,user_000585,2020-04-18,Those COVID-19 on don't tied wear masks in their own stores,Hate
3622,user_003622,2021-03-07,Remember to wash your hands and exercise social distancing,Neutral
2370,user_002370,2021-02-19,mask mandates are equal implemented in several states!!,Neutral
3489,user_003489,2020-04-29,Essential workers proceed to serve during the pandemic!,Neutral
2380,user_002380,2020-04-09,hospital are flood out with coronavirus patient?,Neutral
4331,user_004331,2020-10-25,Being Asian doesn't make someone more likely have COVID #covid19,Counter hate
2270,user_002270,2021-01-28,COVID-19 cases continue to rise crosswise the state!!,Neutral
291,user_000291,2020-08-17,China needs to pay for what they've behave to the world,Hate
2015,user_002015,2020-11-03,WHO provides guideline for COVID-19 bar.,Neutral
597,user_000597,2021-02-24,Asians are reaxon we're all in lockdown now...,Hate
71,user_000071,2020-12-11,Wuhan virus is the biggest attack on America...,Hate
4386,user_004386,2020-12-18,COVID-19 doesn't discriminate and neither should we,Counter hate
4056,user_004056,2020-10-14,"COVID symptoms include fever, cough, and a loss of sample",Neutral
2035,user_002035,2020-09-27,Scientists are work on developing vaccines for the coronavirus,Neutral
1430,user_001430,2020-11-25,Remember to wash your hands and practise social distancing #virus,Neutral
3224,user_003224,2020-12-31,public assembly are limited to prevent computer virus spread,Neutral
799,user_000799,2020-02-21,All these Asians coming here spreading disease #covid19,Hate
1435,user_001435,2020-06-25,WHO furnish guidepost for COVID-19 prevention!,Neutral
2476,user_002476,2020-03-24,Online learning has become the average during the pandemic.,Neutral
3654,user_003654,2020-06-05,Remember to wash your hands and practice social outstrip?,Neutral
2261,user_002261,2021-03-09,many job have closed temporarily due to COVID-19!,Neutral
4419,user_004419,2020-03-06,"This isn't near a country or ethnicity, it's a global health crisws!!",Counter hate
4474,user_004474,2021-03-05,"The virus doesn't a nationality, stop the xenophobia",Counter hate
3040,user_003040,2020-07-21,"COVID symptoms include fever, cough, and loss of taste!!",Neutral
62,user_000062,2020-10-07,I'm appease away from all Asians until this virus thing is over #coronavirus!!,Hate
3298,user_003298,2020-02-03,Health for officials recommend remain 6 feet apart from others #covid19?,Neutral
4440,user_004440,2020-06-24,"stop blaming Asiatic people for COVID-19, racial discrimination is not the answer...",Counter hate
3696,user_003696,2020-08-09,The coronavirus pandemic has affected the global economy #pandemic,Neutral
